location,lat,lon,mention_count,entertainment_score_mean,entertainment_score_present_share,entertainment_score_strong_share,entertainment_score_sum,bad_news_score_mean,bad_news_score_present_share,bad_news_score_strong_share,bad_news_score_sum,magnitude_score_mean,magnitude_score_present_share,magnitude_score_strong_share,magnitude_score_sum,good_news_score_mean,good_news_score_present_share,good_news_score_strong_share,good_news_score_sum,celebrity_score_mean,celebrity_score_present_share,celebrity_score_strong_share,celebrity_score_sum,power_elite_score_mean,power_elite_score_present_share,power_elite_score_strong_share,power_elite_score_sum,dominant_news_values,dominant_map_category
Herxen,52.4313354,6.1331712,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,none,none
Heteren,51.9554341,5.7573215,2,50.0,0.5,0.5,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,entertainment,entertainment
Heusden,51.3843889,5.7645319,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,none,none
Hierden,52.355868,5.6760734,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,none,none
Hijum,53.2910036,5.765493,9,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,none,none
Hillegom,52.2922753,4.5834571,2,0.0,0.0,0.0,0,100.0,1.0,1.0,200,50.0,1.0,0.0,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,50.0,1.0,0.0,100,bad_news,bad_news
Hilvarenbeek,51.4851583,5.1356804,11,18.181818181818183,0.18181818181818182,0.18181818181818182,200,18.181818181818183,0.18181818181818182,0.18181818181818182,200,9.090909090909092,0.18181818181818182,0.0,100,9.090909090909092,0.09090909090909091,0.09090909090909091,100,0.0,0.0,0.0,0,9.090909090909092,0.18181818181818182,0.0,100,entertainment,entertainment
Hilversum,52.2241375,5.1719396,110,32.72727272727273,0.32727272727272727,0.32727272727272727,3600,18.181818181818183,0.18181818181818182,0.18181818181818182,2000,15.0,0.2545454545454545,0.045454545454545456,1650,12.727272727272727,0.12727272727272726,0.12727272727272726,1400,11.818181818181818,0.12727272727272726,0.10909090909090909,1300,10.909090909090908,0.2,0.01818181818181818,1200,entertainment,entertainment
Hoek,51.3093842,3.7789931,1,100.0,1.0,1.0,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,entertainment,entertainment
Hoevelaken,52.1757138,5.4577033,9,11.11111111111111,0.1111111111111111,0.1111111111111111,100,11.11111111111111,0.1111111111111111,0.1111111111111111,100,27.77777777777778,0.3333333333333333,0.2222222222222222,250,0.0,0.0,0.0,0,0.0,0.0,0.0,0,5.555555555555555,0.1111111111111111,0.0,50,magnitude,magnitude
Hollandscheveld,52.7062897,6.5337912,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,none,none
Holten,52.2819676,6.4216444,5,0.0,0.0,0.0,0,20.0,0.2,0.2,100,10.0,0.2,0.0,50,20.0,0.2,0.2,100,0.0,0.0,0.0,0,10.0,0.2,0.0,50,bad_news,bad_news
Honselersdijk,52.0093169,4.2300007,1,0.0,0.0,0.0,0,100.0,1.0,1.0,100,50.0,1.0,0.0,50,0.0,0.0,0.0,0,0.0,0.0,0.0,0,50.0,1.0,0.0,50,bad_news,bad_news
